id,tenure,monthlycharges,totalcharges,churn,internetservice,contract,paymentmethod,tenure_group,monthly_charge_segment,has_internet_service,is_multi_line_user,contract_type_code
1,1,29.85,29.85,No,DSL,Month-to-month,Electronic check,New,Low,1,0,0
2,34,56.95,1889.5,No,DSL,One year,Mailed check,Regular,Medium,1,0,1
3,2,53.85,108.15,Yes,DSL,Month-to-month,Mailed check,New,Medium,1,0,0
4,45,42.3,1840.75,No,DSL,One year,Bank transfer (automatic),Loyal,Medium,1,0,1
5,2,70.7,151.65,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
6,8,99.65,820.5,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,1,0
7,22,89.1,1949.4,No,Fiber optic,Month-to-month,Credit card (automatic),Regular,High,1,1,0
8,10,29.75,301.9,No,DSL,Month-to-month,Mailed check,New,Low,1,0,0
9,28,104.8,3046.05,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
10,62,56.15,3487.95,No,DSL,One year,Bank transfer (automatic),Champion,Medium,1,0,1
11,13,49.95,587.45,No,DSL,Month-to-month,Mailed check,Regular,Medium,1,0,0
12,16,18.95,326.8,No,No,Two year,Credit card (automatic),Regular,Low,0,0,2
13,58,100.35,5681.1,No,Fiber optic,One year,Credit card (automatic),Loyal,High,1,1,1
14,49,103.7,5036.3,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),Loyal,High,1,1,0
15,25,105.5,2686.05,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,0,0
16,69,113.25,7895.15,No,Fiber optic,Two year,Credit card (automatic),Champion,High,1,1,2
17,52,20.65,1022.95,No,No,One year,Mailed check,Loyal,Low,0,0,1
18,71,106.7,7382.25,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
19,10,55.2,528.35,Yes,DSL,Month-to-month,Credit card (automatic),New,Medium,1,0,0
20,21,90.05,1862.9,No,Fiber optic,Month-to-month,Electronic check,Regular,High,1,0,0
21,1,39.65,39.65,Yes,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
22,12,19.8,202.25,No,No,One year,Bank transfer (automatic),New,Low,0,0,1
23,1,20.15,20.15,Yes,No,Month-to-month,Mailed check,New,Low,0,0,0
24,58,59.9,3505.1,No,DSL,Two year,Credit card (automatic),Loyal,Medium,1,1,2
25,49,59.6,2970.3,No,DSL,Month-to-month,Credit card (automatic),Loyal,Medium,1,0,0
26,30,55.3,1530.6,No,DSL,Month-to-month,Bank transfer (automatic),Regular,Medium,1,0,0
27,47,99.35,4749.15,Yes,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,1,0
28,1,30.2,30.2,Yes,DSL,Month-to-month,Electronic check,New,Medium,1,0,0
29,72,90.25,6369.45,No,DSL,Two year,Credit card (automatic),Champion,High,1,1,2
30,17,64.7,1093.1,Yes,DSL,Month-to-month,Mailed check,Regular,Medium,1,0,0
31,71,96.35,6766.95,No,Fiber optic,Two year,Credit card (automatic),Champion,High,1,1,2
32,2,95.5,181.65,No,Fiber optic,Month-to-month,Credit card (automatic),New,High,1,0,0
33,27,66.15,1874.45,No,DSL,One year,Mailed check,Regular,Medium,1,0,1
34,1,20.2,20.2,No,No,Month-to-month,Bank transfer (automatic),New,Low,0,0,0
35,1,45.25,45.25,No,DSL,Month-to-month,Bank transfer (automatic),New,Medium,1,0,0
36,72,99.9,7251.7,No,Fiber optic,Two year,Bank transfer (automatic),Champion,High,1,1,2
37,5,69.7,316.9,Yes,Fiber optic,Month-to-month,Electronic check,New,Medium,1,0,0
38,46,74.8,3548.3,No,Fiber optic,Month-to-month,Credit card (automatic),Loyal,High,1,0,0
39,34,106.35,3549.25,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
40,11,97.85,1105.4,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),New,High,1,1,0
41,10,49.55,475.7,No,DSL,One year,Mailed check,New,Medium,1,0,1
42,70,69.2,4872.35,No,DSL,Two year,Credit card (automatic),Champion,Medium,1,1,2
43,17,20.75,418.25,No,No,One year,Mailed check,Regular,Low,0,0,1
44,63,79.85,4861.45,No,DSL,Two year,Credit card (automatic),Champion,High,1,1,2
45,13,76.2,981.45,No,DSL,Month-to-month,Electronic check,Regular,High,1,1,0
46,49,84.5,3906.7,No,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,1,0
47,2,49.25,97.0,No,DSL,Month-to-month,Mailed check,New,Medium,1,0,0
48,2,80.65,144.15,Yes,Fiber optic,Month-to-month,Electronic check,New,High,1,0,0
49,52,79.75,4217.8,No,DSL,Two year,Credit card (automatic),Loyal,High,1,1,2
50,69,64.15,4254.1,No,DSL,Two year,Credit card (automatic),Champion,Medium,1,1,2
51,43,90.25,3838.75,No,Fiber optic,Month-to-month,Electronic check,Loyal,High,1,1,0
52,15,99.1,1426.4,Yes,Fiber optic,Month-to-month,Credit card (automatic),Regular,High,1,0,0
53,25,69.5,1752.65,No,DSL,Month-to-month,Credit card (automatic),Regular,Medium,1,1,0
54,8,80.65,633.3,Yes,Fiber optic,Month-to-month,Credit card (automatic),New,High,1,1,0
55,60,74.85,4456.35,No,DSL,One year,Credit card (automatic),Loyal,High,1,0,1
56,18,95.45,1752.55,Yes,Fiber optic,Month-to-month,Electronic check,Regular,High,1,1,0
57,63,99.65,6311.2,No,Fiber optic,One year,Credit card (automatic),Champion,High,1,1,1
